(132027, 10) (33007, 10) (132027,) (33007,)
258:	learn: 0.3109191	total: 18.1s	remaining: 51.9s
259:	learn: 0.3108903	total: 18.2s	remaining: 51.9s
260:	learn: 0.3108568	total: 18.3s	remaining: 51.9s
261:	learn: 0.3108115	total: 18.4s	remaining: 51.8s
262:	learn: 0.3107780	total: 18.5s	remaining: 51.8s
263:	learn: 0.3107566	total: 18.5s	remaining: 51.7s
264:	learn: 0.3107203	total: 18.6s	remaining: 51.6s
265:	learn: 0.3106973	total: 18.7s	remaining: 51.6s
266:	learn: 0.3106649	total: 18.8s	remaining: 51.6s
267:	learn: 0.3106293	total: 18.9s	remaining: 51.5s
268:	learn: 0.3105883	total: 18.9s	remaining: 51.4s
269:	learn: 0.3105532	total: 19s	remaining: 51.4s
270:	learn: 0.3105143	total: 19.1s	remaining: 51.3s
271:	learn: 0.3104867	total: 19.1s	remaining: 51.2s
272:	learn: 0.3104380	total: 19.2s	remaining: 51.1s
273:	learn: 0.3103865	total: 19.3s	remaining: 51s
274:	learn: 0.3103552	total: 19.3s	remaining: 51s
275:	learn: 0.3103288	total: 19.4s	remaining: 50.9s
276:	learn: 0.3102924	total: 19.5s	remaining: 50.8s
277:	learn: 0.3102691	total: 19.5s	remaining: 50.8s
278:	learn: 0.3102495	total: 19.6s	remaining: 50.7s
279:	learn: 0.3102089	total: 19.7s	remaining: 50.6s
280:	learn: 0.3101667	total: 19.8s	remaining: 50.6s
281:	learn: 0.3101530	total: 19.9s	remaining: 50.6s
282:	learn: 0.3101194	total: 19.9s	remaining: 50.5s
283:	learn: 0.3100996	total: 20s	remaining: 50.4s
284:	learn: 0.3100652	total: 20.1s	remaining: 50.4s
285:	learn: 0.3100204	total: 20.1s	remaining: 50.3s
286:	learn: 0.3099922	total: 20.2s	remaining: 50.2s
287:	learn: 0.3099874	total: 20.3s	remaining: 50.2s
288:	learn: 0.3099472	total: 20.4s	remaining: 50.1s
289:	learn: 0.3099274	total: 20.4s	remaining: 50s
290:	learn: 0.3098846	total: 20.5s	remaining: 50s
291:	learn: 0.3098725	total: 20.6s	remaining: 49.9s
292:	learn: 0.3098463	total: 20.6s	remaining: 49.8s
293:	learn: 0.3097982	total: 20.7s	remaining: 49.7s
